Accession,Title,Reference_Decision,Rule_Decision,Rule_Reason,AI_Decision,AI_Confidence,AI_Primary_Subject,AI_Reason,AI_Evidence,AI_Repeat_Decisions,Hybrid_Decision
GSE303402,Human induced pluripotent stem cell-derived skin organoids recapitulate donor-specific pigmentation diversity,include,include,摘要明确说明毛囊/脱发相关组学对象，且未被无关实验设计否定,include,0.95,Hair follicle pigmentation in skin organoids,"The study directly assays hair follicle pigmentation using single-cell RNA-seq in skin organoids, making hair follicle biology a primary subject.","Title mentions skin organoids recapitulate pigmentation diversity, which includes hair follicles. || Summary states skin organoids contain hair follicles and pigmentation, and the study examines pigmentation differences in both skin and hair follicles. || Single-cell RNA-seq is performed on organoids that include hair follicles, and the analysis aims to uncover gene expression profiles associated with pigmentation differences, which directly involves hair follicle biology.",include || include,include
GSE310777,ALKBH5 acts as an intrinsic facilitator for hair follicle telogen-to-anagen transition,include,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,0.98,Hair follicle stem cell regulation during telogen-to-anagen transition,"The study directly assays hair follicle stem cells to investigate hair cycle transition, a core hair biology topic.",Title explicitly states role in hair follicle telogen-to-anagen transition || Summary focuses on hair follicle stem cells (HFSCs) and hair cycle regulation || Samples are bulge hair follicle stem cells and hair germ stem cells from mice || Study investigates intrinsic mechanisms of HFSC activation and proliferation,include || include,include
GSE280028,Developing a differentiation-inducing therapeutic strategy for sarcomatoid renal cell carcinoma,exclude,exclude,毛发/脱发仅作为药物适应证、不良事件、临床表现或次要结局出现,exclude,0.95,sarcomatoid renal cell carcinoma,"The study is about renal cell carcinoma; minoxidil is mentioned only as a repurposed drug for its anti-PLOD2 activity, not as a hair biology subject. No hair follicle or alopecia samples or endpoints are studied.","Title: 'Developing a differentiation-inducing therapeutic strategy for sarcomatoid renal cell carcinoma' || Summary: study focuses on sRCC, PLOD2 as target, minoxidil mentioned only as an FDA-approved drug for alopecia repurposed for sRCC || Overall_Design: RNA-seq on PLOD2-ablated 786-O renal cell carcinoma cells",exclude || exclude,exclude
GSE314972,Single-cell transcriptomic profiling of frontal fibrosing alopecia reveals preserved cellular architecture with stress-driven epithelial reprogramming and non-cytotoxic inflammation,include,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,0.98,Frontal fibrosing alopecia (cicatricial alopecia) scalp biopsies,"The study directly investigates the cellular and molecular mechanisms of frontal fibrosing alopecia, a primary hair-loss disorder, using scalp biopsies and single-cell RNA-seq, with explicit analysis of hair follicle epithelial populations.","Title explicitly states 'Single-cell transcriptomic profiling of frontal fibrosing alopecia' || Summary describes FFA as a primary cicatricial alopecia and the study aims to define cell-type-specific transcriptional states in lesional scalp || Samples are lesional scalp biopsies from FFA patients and matched controls || Analysis focuses on hair follicle compartments (upper follicle, bulge/outer root sheath) and dermal fibroblasts, immune cells in the context of hair loss disease",include || include,include
GSE334860,Transcriptome analysis of circSmad5 knockdown in immortalized hair follicle stem cells (iHFSC2),include,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,0.98,Hair follicle stem cells (HFSCs) and circSmad5 regulation,The study directly assays hair follicle stem cells and investigates a molecular mechanism affecting hair follicle biology and hair reconstitution.,Title: Transcriptome analysis of circSmad5 knockdown in immortalized hair follicle stem cells (iHFSC2) || Summary: Investigates role of circSmad5 in hair follicle stem cells (HFSCs) || Summary: Knockdown increased hair count in hair reconstitution model || Overall_Design: iHFSC2 cells (immortalized hair follicle stem cells) used,include || include,include
GSE303778,Roles of Msx2 in Exogen Control: Modulating the Stem Cell Niche During the Transition from Hair Shedding to Regeneration [ATAC-Seq],include,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,0.95,Hair follicle stem cell niche and exogen phase regulation by Msx2,"The study directly assays hair follicle stem cells to understand molecular control of hair cycling and exogen, making it central to hair biology.","Title explicitly mentions exogen control, stem cell niche, hair shedding, and regeneration || Summary states the study investigates hair follicle stem cell (HFSC) lineage commitment and ECM remodeling during exogen || Overall design describes sorting HFSCs (CD34+CD49f+Sca-1-) from dorsal skin for ATAC-seq and RNA-seq || Study focuses on hair cycling, bulge architecture, and hair loss disorders",include || include,include
GSE303779,Roles of Msx2 in exogen control: Modulating stem cell niche during the transition from hair shedding to regeneration [RNA-Seq],include,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,0.98,Msx2 regulation of hair follicle stem cell niche and exogen phase,"The study directly assays hair follicle stem cells and investigates molecular mechanisms of the hair cycle exogen phase, making it highly relevant to hair biology.","Title explicitly states study of exogen control and stem cell niche during hair shedding and regeneration || Summary focuses on hair follicle cycle, hair follicle stem cells (HFSCs), and hair loss disorders || Overall design describes sorting HFSCs (CD34+CD49f+Sca-1-) from dorsal skin for RNA-seq and ATAC-seq || Study uses Msx2-knockout mice to investigate hair anchoring, HFSC lineage commitment, and ECM remodeling",include || include,include
GSE144322,Profiling anagen skin in control and Fgf5 mutant mice,include,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,0.95,Hair follicle anagen phase transcriptomes in Fgf5 mutant mice,"The study directly profiles anagen-phase skin to investigate hair growth cycle regulation using an Fgf5 mutant, making hair follicle biology the central subject.",Title: Profiling anagen skin in control and Fgf5 mutant mice || Summary: transcriptomes of cells from adult mouse skin in anagen phase of the hair growth cycle || Fgf5 is a known regulator of hair cycle progression,include || include,include
GSE325704,Effect of Activated Hair Follicle Stem Cells on Gene Expression During Hair Regrowth in Mice,include,include,标题以毛囊、毛发生物学或脱发为主要研究主题,include,0.95,Hair follicle stem cells and hair regrowth,"The study directly investigates hair follicle stem cells and their role in hair regrowth, with RNA-seq on treated skin to assess hair growth-associated genes.",Title: Effect of Activated Hair Follicle Stem Cells on Gene Expression During Hair Regrowth in Mice || Summary: The hair cycle... orchestrated by bulge-resident hair follicle stem cells (HFSCs)... intradermal administration of activated HFSCs accelerates hair regrowth and upregulates hair growth-associated genes in depilated mouse skin || Overall_Design: RNA sequencing was performed on treated skin samples... to assess gene expression changes,include || include,include
GSE330568,Venlafaxine reverses chemotherapy-induced alopecia through epithelial and dermal reprogramming at single-cell resolution,include,include,标题以毛囊、毛发生物学或脱发为主要研究主题,include,0.95,Chemotherapy-induced alopecia and hair follicle biology,"The study directly investigates chemotherapy-induced alopecia, a hair-loss disorder, using omics data from hair follicle cells and tissues to understand mechanisms and treatment response.","Title explicitly states 'chemotherapy-induced alopecia' and 'epithelial and dermal reprogramming' in hair follicles || Summary describes single-cell RNA-seq of hair follicle niche, including hair matrix cells, dermal fibroblasts, and epithelial-mesenchymal communication || Study uses in vivo mouse models and ex vivo human hair follicle organ culture to investigate CIA mechanisms and treatment || Overall design includes CIA model mice and treatment with venlafaxine, focusing on hair follicle preservation and hair shaft elongation",include || include,include
