Accession,Title,Automated_Decision,Automated_Score,Automated_Reason,Final_Decision,Final_Reason,Decision_Source,Manual_Review,Evidence_Adjudication,Title_Terms,Summary_Terms,Overall_Design_Terms,Summary_Sample_Terms,Incidental_Signals,Off_Topic_Signals,Relevant_Summary_Sentences,GEO_Link
GSE303402,Human induced pluripotent stem cell-derived skin organoids recapitulate donor-specific pigmentation diversity,include,10,摘要明确说明毛囊/脱发相关组学对象，且未被无关实验设计否定,include,摘要明确说明毛囊/脱发相关组学对象，且未被无关实验设计否定,automated_rule,False,False,,hair_follicle; hair_pigmentation,,hair_follicle,,,2,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE303402
GSE310777,ALKBH5 acts as an intrinsic facilitator for hair follicle telogen-to-anagen transition,include,30,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,automated_rule,False,False,hair_follicle; hair_cycle_stage,hair_follicle; hair_follicle_stem_cell; hair_cycle_stage; hair_cycle; hair_growth,hair_follicle; hair_follicle_stem_cell; hair_compartment,hair_cycle; hair_follicle_stem_cell,,,5,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE310777
GSE280028,Developing a differentiation-inducing therapeutic strategy for sarcomatoid renal cell carcinoma,exclude,-6,毛发/脱发仅作为药物适应证、不良事件、临床表现或次要结局出现,exclude,毛发/脱发仅作为药物适应证、不良事件、临床表现或次要结局出现,automated_rule,False,False,,alopecia; androgenetic_alopecia,,,drug_indication,renal,0,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE280028
GSE314972,Single-cell transcriptomic profiling of frontal fibrosing alopecia reveals preserved cellular architecture with stress-driven epithelial reprogramming and non-cytotoxic inflammation,include,20,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,automated_rule,False,False,alopecia,root_sheath; hair_loss; alopecia; scalp,alopecia; scalp,scalp,clinical_manifestation,,2,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE314972
GSE334860,Transcriptome analysis of circSmad5 knockdown in immortalized hair follicle stem cells (iHFSC2),include,26,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,automated_rule,False,False,hair_follicle; hair_follicle_stem_cell,hair_follicle; hair_follicle_stem_cell,hair_follicle_stem_cell,hair_follicle; hair_follicle_stem_cell,,,2,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE334860
GSE303778,Roles of Msx2 in Exogen Control: Modulating the Stem Cell Niche During the Transition from Hair Shedding to Regeneration [ATAC-Seq],include,30,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,automated_rule,False,False,hair_cycle_stage; hair_loss,hair_follicle; hair_follicle_stem_cell; hair_cycle_stage; hair_cycle; hair_growth; hair_loss,hair_follicle; hair_follicle_stem_cell; hair_cycle_stage; hair_cycle,hair_cycle_stage; hair_follicle_stem_cell; hair_growth,,,5,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE303778
GSE303779,Roles of Msx2 in exogen control: Modulating stem cell niche during the transition from hair shedding to regeneration [RNA-Seq],include,30,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,automated_rule,False,False,hair_cycle_stage; hair_loss,hair_follicle; hair_follicle_stem_cell; hair_cycle_stage; hair_cycle; hair_growth; hair_loss,hair_follicle; hair_follicle_stem_cell; hair_cycle_stage; hair_cycle,hair_cycle_stage; hair_follicle_stem_cell; hair_growth,,,5,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE303779
GSE144322,Profiling anagen skin in control and Fgf5 mutant mice,include,21,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,automated_rule,False,False,hair_cycle_stage,hair_cycle_stage; hair_growth,hair_cycle_stage,hair_cycle_stage; hair_growth,,,1,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE144322
GSE325704,Effect of Activated Hair Follicle Stem Cells on Gene Expression During Hair Regrowth in Mice,include,14,标题以毛囊、毛发生物学或脱发为主要研究主题,include,标题以毛囊、毛发生物学或脱发为主要研究主题,automated_rule,False,False,hair_follicle; hair_follicle_stem_cell; hair_growth,hair_follicle; hair_follicle_stem_cell; hair_cycle_stage; hair_cycle; hair_growth,,,,,3,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE325704
GSE330568,Venlafaxine reverses chemotherapy-induced alopecia through epithelial and dermal reprogramming at single-cell resolution,include,18,标题以毛囊、毛发生物学或脱发为主要研究主题,include,标题以毛囊、毛发生物学或脱发为主要研究主题,automated_rule,False,False,alopecia,hair_follicle; hair_compartment; hair_loss; alopecia,,hair_compartment; hair_follicle,,,4,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE330568
GSE303486,Transcriptome-guided development of a fibrosis-reversal compound reduces skin scarring and allows regeneration via mitochondrial uncoupling [DRUG-seq2],exclude,-3,毛发/脱发仅作为药物适应证、不良事件、临床表现或次要结局出现,exclude,毛发/脱发仅作为药物适应证、不良事件、临床表现或次要结局出现,automated_rule,False,False,,hair_follicle,,,outcome_only,,0,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE303486
